gene_symbol,log2FoldChange,pvalue
Hspa9-ps1,-0.294236769704374,0.0595408538081047
Mbd6,-0.301580198483667,0.0595408538081047
Kcnip2,0.220434601406678,0.0597197426678821
Lpcat3,0.198731784808815,0.0617917475672577
Pcgf2,-0.268650304576319,0.0618619062375785
Inip,0.299882466476952,0.0629330644376581
Gpatch2,-0.241370520818398,0.063144398470715
Dlx1,-0.28865623164446,0.063144398470715
Gm19503,0.28180043498973,0.0638546960856125
Dtx4,-0.266857639143724,0.0650950275437213
Dis3l,0.239960150396458,0.0672951375547706
Ighv6-5,0.263647332034431,0.0693982130981012
Ier5l,0.246440916450499,0.0695765438642432
Foxo1,-0.287905598361264,0.0696399787727202
Zbtb26,0.263134125032732,0.07224151577651
Rnase6,-0.252282258973174,0.07224151577651
Rubcnl,0.292866044448777,0.0734701160286814
Gm37422,-0.220083618725173,0.075133028104416
Nek2,-0.218248964839428,0.075623665633159
Gm26977,-0.289184090168162,0.075623665633159
Igkv4-51,0.274045585769204,0.0771501900820197
Slc8a1,-0.212888629004433,0.077550913679111
Zcchc12,-0.234410703319028,0.077550913679111
Gm26884,-0.257524373602526,0.077550913679111
Mir6998,0.287454033552136,0.077550913679111
Lrrc8a,0.285246534459188,0.077550913679111
Gins1,0.260363882492171,0.077550913679111
Ryr2,-0.283103673506154,0.0779243054190104
Gm35315,-0.214590935867552,0.0790043686788318
Bin3,0.291240236075728,0.0793898535039571
Mfsd7b,-0.291067876097137,0.0815655907045665
Mx1,-0.195918885369651,0.0836193749854608
Cdhr1,0.204182716083516,0.0836654780107659
Gm45223,-0.233956332184709,0.0836654780107659
Enkd1,0.217489374424343,0.0838697430619032
Timm8b,0.215060657134455,0.0857735319326323
Ppp2r3c,0.257237581534464,0.0870749649125682
Rcan1,0.249718078091514,0.0889559936075072
6330549D23Rik,0.277000909308319,0.0889628126544922
Nlrp6,0.252574648132105,0.0903844971082893
Gm16210,0.273642798320868,0.0906981827837294
