Country,Continent,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Georgia,Asia,2055,2096,2236,2400,2702,3022,3529,4006,4147,3934,4492
Yemen,Asia,1,2,4,6,6,5,14,13,13,15,17
Irak,Asia,65,66,85,92,109,127,134,144,144,123,143
Israel,Asia,434,441,453,486,560,590,625,622,623,583,623
Jordania,Asia,151,149,164,171,187,191,189,187,187,189,208
Kuwait,Asia,19,19,17,16,21,21,34,34,30,32,28
Libano,Asia,253,262,296,321,440,504,605,663,756,781,808
Oman,Asia,1,3,4,3,11,8,1,2,4,6,18
Palestina,Asia,0,0,0,35,56,80,98,105,697,115,126
Qatar,Asia,0,0,1,4,13,13,13,11,110,9,11
Siria,Asia,372,437,520,599,613,681,690,694,14,659,643
Turquia,Asia,651,667,685,759,990,1218,1364,143,1458,1358,156
Chipre,Asia,48,45,58,75,91,109,135,147,162,192,196
Corea del Norte,Asia,0,0,0,0,0,0,0,1,1,0,0
Corea,Asia,547,570,625,678,814,840,852,902,938,718,714
Japon,Asia,1521,1588,1618,1657,1794,1723,1732,1721,1750,1536,1536
Mongolia,Asia,41,43,44,47,53,58,60,63,62,54,56
China,Asia,16128,16435,17487,18448,19866,20555,21658,22477,22519,20952,20206
Camboya,Asia,2,1,0,1,1,5,6,6,6,7,8
Filipinas,Asia,8724,8684,8491,8682,9049,9149,9439,9656,9757,9386,9308
Indonesia,Asia,72,76,83,88,105,136,147,143,139,165,182
Laos,Asia,3,2,1,1,1,1,2,3,2,1,1
Malasia,Asia,49,43,43,50,70,78,92,98,98,89,91
Myanmar,Asia,3,2,4,3,3,6,7,9,6,12,14
Singapur,Asia,52,51,46,55,61,61,63,65,61,57,64
Tailandia,Asia,138,143,155,160,185,189,204,214,208,187,218
Timor Oriental,Asia,0,0,1,1,2,2,2,0,0,0,0
Vietnam,Asia,55,59,62,74,121,177,225,243,255,228,264
